gene_name	biotype_99	biotype_110	status
SLC6A10P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SLCO1B7	protein_coding	transcribed_unprocessed_pseudogene	LOSS
SMG1P5	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SMG1P7	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SORD2P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SPATA31C1	transcribed_unprocessed_pseudogene	protein_coding	GAIN
SPATA31C2	unprocessed_pseudogene	protein_coding	GAIN
SPATA31D5P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SPDYE18	unprocessed_pseudogene	protein_coding	GAIN
SSX9P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
STAG3L4	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
STAG3L5P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
STRA6LP	lncRNA	transcribed_unitary_pseudogene	LOSS
STRCP1	unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SUGT1P3	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SUPT20HL1	processed_pseudogene	protein_coding	GAIN
SUPT20HL2	processed_pseudogene	protein_coding	GAIN
SVIL-AS1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
TAAR3P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
TBC1D3P2	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
TBC1D3P5	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
TCP10L2	protein_coding	transcribed_unprocessed_pseudogene	LOSS
TDGF1P3	transcribed_processed_pseudogene	protein_coding	GAIN
TEKT4P2	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
TMEM191A	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
TPTEP1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
TRPC2	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
TTTY11	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
TTTY23B	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
TXLNGY	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
UBBP4	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
UBE2NL	polymorphic_pseudogene	protein_coding	GAIN
UBE2Q2P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
UBE2Q2P2	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
ULK4P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
